N,seed,kproj,hyper_w,hyper_M,probes,recall,qps,time_per_query
1,42,16,1000,10000,100,0.08333333333333333,76.43945,0.013082250068518287
1,42,16,1000,10000,250,0.08333333333333333,56.752347,0.017620416649905244
1,42,16,1000,10000,500,0.08333333333333333,81.158401,0.01232158331951365
1,42,20,20,2000,100,0.0,240.910642,0.004150916670588591
1,42,20,20,2000,250,0.0,326.868599,0.0030593333316792535
1,42,20,20,2000,500,0.0,482.528449,0.0020724166669808105
1,42,20,20,5000,100,0.08333333333333333,104.399572,0.009578583329824378
1,42,20,20,5000,250,0.08333333333333333,164.239571,0.006088666658779813
1,42,20,20,5000,500,0.08333333333333333,120.632112,0.008289666685102885
1,42,20,20,10000,100,0.08333333333333333,81.79513,0.012225666735904693
1,42,20,20,10000,250,0.08333333333333333,61.531204,0.016251916669792452
1,42,20,20,10000,500,0.08333333333333333,64.843834,0.015421666769426372
1,42,20,40,2000,100,0.0,194.802032,0.005133416678117608
1,42,20,40,2000,250,0.0,328.164739,0.0030472499972033864
1,42,20,40,2000,500,0.0,454.579892,0.0021998333353469143
1,42,20,40,5000,100,0.08333333333333333,151.662601,0.006593583344914413
1,42,20,40,5000,250,0.08333333333333333,180.527139,0.005539333340900062
1,42,20,40,5000,500,0.08333333333333333,109.232912,0.009154749989636822
1,42,20,40,10000,100,0.08333333333333333,80.790671,0.012377666723426519
1,42,20,40,10000,250,0.08333333333333333,68.579266,0.014581666709585371
1,42,20,40,10000,500,0.08333333333333333,74.888603,0.013353166702815914
1,42,20,80,2000,100,0.0,396.013464,0.0025251666695857594
1,42,20,80,2000,250,0.0,434.640878,0.002300749999865406
1,42,20,80,2000,500,0.0,478.812545,0.0020884999995144237
1,42,20,80,5000,100,0.08333333333333333,141.269542,0.007078666681031641
1,42,20,80,5000,250,0.08333333333333333,188.48661,0.005305416655326338
1,42,20,80,5000,500,0.08333333333333333,124.90112,0.008006333329917298
1,42,20,80,10000,100,0.08333333333333333,88.983145,0.011238083347132765
1,42,20,80,10000,250,0.08333333333333333,61.169562,0.016348000006931554
1,42,20,80,10000,500,0.08333333333333333,89.598375,0.011160916701893309
1,42,20,120,2000,100,0.0,426.803244,0.0023429999983786438
1,42,20,120,2000,250,0.0,467.435338,0.002139333333843921
1,42,20,120,2000,500,0.0,325.353144,0.003073583330733082
1,42,20,120,5000,100,0.08333333333333333,140.783932,0.007103083326298914
1,42,20,120,5000,250,0.08333333333333333,144.950294,0.006898916672773357
1,42,20,120,5000,500,0.08333333333333333,80.202645,0.012468416721169233
1,42,20,120,10000,100,0.08333333333333333,92.216185,0.010844083389483094
1,42,20,120,10000,250,0.08333333333333333,81.255671,0.01230683332859315
1,42,20,120,10000,500,0.08333333333333333,77.585036,0.012889083405207159
1,42,20,300,2000,100,0.0,468.512084,0.002134416665334079
1,42,20,300,2000,250,0.0,273.379656,0.0036579166666300873
1,42,20,300,2000,500,0.0,328.254507,0.003046416663518957
1,42,20,300,5000,100,0.08333333333333333,141.99335,0.0070425833322476025
1,42,20,300,5000,250,0.08333333333333333,148.413827,0.006737916676725815
1,42,20,300,5000,500,0.08333333333333333,146.733349,0.006815083325059254
1,42,20,300,10000,100,0.08333333333333333,91.475267,0.010931916711431955
1,42,20,300,10000,250,0.08333333333333333,53.785369,0.018592416833656006
1,42,20,300,10000,500,0.08333333333333333,72.933254,0.01371116665108621
1,42,20,500,2000,100,0.0,380.396881,0.0026288333315750818
1,42,20,500,2000,250,0.0,222.799851,0.004488333342736392
1,42,20,500,2000,500,0.0,155.597625,0.006426833314454511
1,42,20,500,5000,100,0.08333333333333333,158.686079,0.006301750010471932
1,42,20,500,5000,250,0.08333333333333333,152.0874,0.006575166647598683
1,42,20,500,5000,500,0.08333333333333333,143.917679,0.006948416670894199
1,42,20,500,10000,100,0.08333333333333333,66.92134,0.014942916564432212
1,42,20,500,10000,250,0.08333333333333333,71.024829,0.014079583352463967
1,42,20,500,10000,500,0.08333333333333333,69.73136,0.014340749986806511
1,42,20,1000,2000,100,0.0,253.137855,0.003950416661308914
1,42,20,1000,2000,250,0.0,598.981731,0.0016695000001594373
1,42,20,1000,2000,500,0.0,330.624053,0.0030245833324171367
1,42,20,1000,5000,100,0.08333333333333333,116.825842,0.008559749990930945
1,42,20,1000,5000,250,0.08333333333333333,116.326412,0.008596499993483853
1,42,20,1000,5000,500,0.08333333333333333,129.382844,0.007728999990137796
1,42,20,1000,10000,100,0.08333333333333333,75.102797,0.013315083325059119
1,42,20,1000,10000,250,0.08333333333333333,67.298148,0.014859249915762913
1,42,20,1000,10000,500,0.08333333333333333,63.287801,0.015800833402317138
10,42,12,20,2000,100,0.09166666666666667,538.889887,0.0018556666660920285
10,42,12,20,2000,250,0.09166666666666667,252.849828,0.003954916670934022
10,42,12,20,2000,500,0.09166666666666667,432.900433,0.0023099999994686997
10,42,12,20,5000,100,0.13333333333333333,164.194625,0.006090333346782819
10,42,12,20,5000,250,0.13333333333333333,134.189162,0.0074521666660382
10,42,12,20,5000,500,0.13333333333333333,172.292495,0.005804083340948774
10,42,12,20,10000,100,0.17500000000000002,92.360267,0.010827166621335125
10,42,12,20,10000,250,0.17500000000000002,83.276659,0.012008166658078826
10,42,12,20,10000,500,0.17500000000000002,66.372049,0.015066583223911016
10,42,12,40,2000,100,0.09166666666666667,608.51927,0.0016433333327307777
10,42,12,40,2000,250,0.09166666666666667,122.645463,0.008153583308662627
10,42,12,40,2000,500,0.09166666666666667,382.226469,0.0026162500012525294
10,42,12,40,5000,100,0.13333333333333333,167.888522,0.005956333334091774
10,42,12,40,5000,250,0.13333333333333333,187.793427,0.005325000006523125
10,42,12,40,5000,500,0.13333333333333333,155.759196,0.006420166678312849
10,42,12,40,10000,100,0.17500000000000002,76.564793,0.013060833325834239
10,42,12,40,10000,250,0.17500000000000002,86.752841,0.011527000020667911
10,42,12,40,10000,500,0.17500000000000002,67.487768,0.014817499965327049
10,42,12,80,2000,100,0.09166666666666667,179.278404,0.005577916679802661
10,42,12,80,2000,250,0.09166666666666667,311.753092,0.003207666662051904
10,42,12,80,2000,500,0.09166666666666667,151.408095,0.006604666679149486
10,42,12,80,5000,100,0.13333333333333333,114.310754,0.008748083316815494
10,42,12,80,5000,250,0.13333333333333333,153.421295,0.006517999994720421
10,42,12,80,5000,500,0.13333333333333333,188.365303,0.005308833336466429
10,42,12,80,10000,100,0.17500000000000002,75.920056,0.013171750031375109
10,42,12,80,10000,250,0.17500000000000002,57.568038,0.017370750067945688
10,42,12,80,10000,500,0.17500000000000002,88.459043,0.01130466672582022
10,42,12,120,2000,100,0.09166666666666667,507.44249,0.0019706666660886042
10,42,12,120,2000,250,0.09166666666666667,244.748113,0.004085833340010266
10,42,12,120,2000,500,0.09166666666666667,198.544011,0.005036666656240766
10,42,12,120,5000,100,0.13333333333333333,72.557971,0.013782083294473602
10,42,12,120,5000,250,0.13333333333333333,126.025268,0.007934916670837788
10,42,12,120,5000,500,0.13333333333333333,103.10607,0.009698750034794265
10,42,12,120,10000,100,0.17500000000000002,76.097227,0.013141083314376224
10,42,12,120,10000,250,0.17500000000000002,93.023977,0.010749916658583625
10,42,12,120,10000,500,0.17500000000000002,58.698651,0.017036166640354306
10,42,12,300,2000,100,0.09166666666666667,351.947443,0.00284133332941987
10,42,12,300,2000,250,0.09166666666666667,447.510722,0.002234583331391108
10,42,12,300,2000,500,0.09166666666666667,252.759289,0.003956333331828608
10,42,12,300,5000,100,0.13333333333333333,128.454902,0.007784833310604215
10,42,12,300,5000,250,0.13333333333333333,182.52061,0.005478833321891703
10,42,12,300,5000,500,0.13333333333333333,158.698671,0.006301249995975077
10,42,12,300,10000,100,0.17500000000000002,84.290972,0.011863666728152098
10,42,12,300,10000,250,0.17500000000000002,63.91478,0.015645833405043403
10,42,12,300,10000,500,0.17500000000000002,72.710527,0.013753166718211243
10,42,12,500,2000,100,0.09166666666666667,248.226217,0.004028583330502918
10,42,12,500,2000,250,0.09166666666666667,356.315696,0.002806499997687444
10,42,12,500,2000,500,0.09166666666666667,172.552629,0.005795333318277057
10,42,12,500,5000,100,0.13333333333333333,195.503421,0.005115000008107275
10,42,12,500,5000,250,0.13333333333333333,91.764868,0.010897416645333157
10,42,12,500,5000,500,0.13333333333333333,157.443124,0.0063514999867507705
10,42,12,500,10000,100,0.17500000000000002,58.726803,0.017027999974730448
10,42,12,500,10000,250,0.17500000000000002,85.18976,0.011738500026294238
10,42,12,500,10000,500,0.17500000000000002,58.432831,0.01711366680145961
10,42,12,1000,2000,100,0.09166666666666667,507.013689,0.0019723333347711645
10,42,12,1000,2000,250,0.09166666666666667,348.675035,0.0028679999989101603
10,42,12,1000,2000,500,0.09166666666666667,317.057705,0.00315399999504822
10,42,12,1000,5000,100,0.13333333333333333,212.404418,0.004708000000263648
10,42,12,1000,5000,250,0.13333333333333333,147.579693,0.006776000001572032
10,42,12,1000,5000,500,0.13333333333333333,139.251523,0.007181250003276446
10,42,12,1000,10000,100,0.17500000000000002,55.105274,0.018147083344508912
10,42,12,1000,10000,250,0.17500000000000002,52.39923,0.01908424990214551
10,42,12,1000,10000,500,0.17500000000000002,68.309899,0.014639166718721104
10,42,14,20,2000,100,0.09166666666666667,510.290866,0.001959666665873655
10,42,14,20,2000,250,0.09166666666666667,410.214337,0.002437749999946979
10,42,14,20,2000,500,0.09166666666666667,408.427215,0.002448416665867871
10,42,14,20,5000,100,0.13333333333333333,288.260588,0.003469083328172494
10,42,14,20,5000,250,0.13333333333333333,135.156444,0.007398833310530129
10,42,14,20,5000,500,0.13333333333333333,127.983618,0.007813500005914818
10,42,14,20,10000,100,0.17500000000000002,56.782155,0.017611166747722062
10,42,14,20,10000,250,0.17500000000000002,60.066373,0.01664825009494081
10,42,14,20,10000,500,0.17500000000000002,54.412392,0.01837816650295396
10,42,14,40,2000,100,0.09166666666666667,351.730809,0.002843083330809386
10,42,14,40,2000,250,0.09166666666666667,313.741895,0.003187333333343958
10,42,14,40,2000,500,0.09166666666666667,447.09389,0.002236666665250111
10,42,14,40,5000,100,0.13333333333333333,148.776315,0.0067214999914468904
10,42,14,40,5000,250,0.13333333333333333,193.939394,0.005156249998388672
10,42,14,40,5000,500,0.13333333333333333,167.128592,0.005983416649617919
10,42,14,40,10000,100,0.17500000000000002,57.767294,0.017310833358405192
10,42,14,40,10000,250,0.17500000000000002,81.469161,0.012274583262248152
10,42,14,40,10000,500,0.17500000000000002,66.868759,0.014954666647843727
10,42,14,80,2000,100,0.09166666666666667,361.598264,0.0027655000025110744
10,42,14,80,2000,250,0.09166666666666667,474.890182,0.0021057499984280578
10,42,14,80,2000,500,0.09166666666666667,233.972859,0.004274000002709716
10,42,14,80,5000,100,0.13333333333333333,142.397741,0.00702258331471705
10,42,14,80,5000,250,0.13333333333333333,144.534779,0.0069187499847355085
10,42,14,80,5000,500,0.13333333333333333,185.643564,0.005386666677009067
10,42,14,80,10000,100,0.17500000000000002,57.502384,0.01739058331911943
10,42,14,80,10000,250,0.17500000000000002,67.94286,0.014718250011848191
10,42,14,80,10000,500,0.17500000000000002,83.526488,0.011972250048391834
10,42,14,120,2000,100,0.09166666666666667,747.33761,0.001338083332912952
10,42,14,120,2000,250,0.09166666666666667,485.653001,0.0020590833330400853
10,42,14,120,2000,500,0.09166666666666667,198.668918,0.005033500006276775
10,42,14,120,5000,100,0.13333333333333333,179.605765,0.00556775001069704
10,42,14,120,5000,250,0.13333333333333333,126.753422,0.007889333354645053
10,42,14,120,5000,500,0.13333333333333333,200.719244,0.004982083332278792
10,42,14,120,10000,100,0.17500000000000002,81.121642,0.01232716665177956
10,42,14,120,10000,250,0.17500000000000002,82.058015,0.012186500002467767
